,home penalties,home wp,total penalties,penalty yards,avg penalties,avg yards,avg yard per penalty,home bias,harsh,high penalty,tenure
home penalties,1.00,-0.09,-0.02,-0.02,-0.07,-0.06,0.03,-0.10,0.01,0.01,0.03
home wp,-0.09,1.00,0.09,0.09,0.02,0.04,0.07,0.71,-0.01,0.00,-0.01
total penalties,-0.02,0.09,1.00,0.99,0.39,0.29,-0.13,-0.02,-0.07,0.25,0.23
penalty yards,-0.02,0.09,0.99,1.00,0.40,0.34,-0.02,-0.02,-0.06,0.26,0.25
avg penalties,-0.07,0.02,0.39,0.40,1.00,0.92,0.06,-0.02,-0.07,0.64,0.04
avg yards,-0.06,0.04,0.29,0.34,0.92,1.00,0.44,0.00,-0.01,0.57,0.07
avg yard per penalty,0.03,0.07,-0.13,-0.02,0.06,0.44,1.00,0.04,0.22,0.02,0.07
home bias,-0.10,0.71,-0.02,-0.02,-0.02,0.00,0.04,1.00,0.00,0.02,0.01
harsh,0.01,-0.01,-0.07,-0.06,-0.07,-0.01,0.22,0.00,1.00,-0.03,-0.02
high penalty,0.01,0.00,0.25,0.26,0.64,0.57,0.02,0.02,-0.03,1.00,0.01
tenure,0.03,-0.01,0.23,0.25,0.04,0.07,0.07,0.01,-0.02,0.01,1.00
